AREA_POND	M_0a9	M_10a19	M_20a29	M_30a39	M_40a49	M_50a59	M_60a69	M_70a79	M_80a89	M_90a99	M_100m	F_0a9	F_10a19	F_20a29	F_30a39	F_40a49	F_50a59	F_60a69	F_70a79	F_80a89	F_90a99	F_100m	Total	90a99	40a49	0a9	70a79	80a89	100m	60a69	10a19	20a29	30a39	50a59
3515004005012	1142,0	1296,0	1202,0	1157,0	1061,0	727,0	361,0	160,0	57,0	8,0	0,0	1102,0	1317,0	1198,0	1262,0	1050,0	734,0	395,0	193,0	68,0	9,0	2,0	14501,0	17,0	2111,0	2244,0	353,0	125,0	2,0	756,0	2613,0	2400,0	2419,0	1461,0
3515004005011	2122,0	2563,0	2328,0	2264,0	1661,0	1058,0	455,0	140,0	39,0	6,0	1,0	1996,0	2430,0	2407,0	2406,0	1804,0	1154,0	521,0	235,0	83,0	9,0	0,0	25682,0	15,0	3465,0	4118,0	375,0	122,0	1,0	976,0	4993,0	4735,0	4670,0	2212,0
3515004005008	1969,0	2342,0	2166,0	2048,0	1280,0	886,0	470,0	116,0	28,0	3,0	0,0	1858,0	2204,0	2337,0	2224,0	1447,0	1072,0	494,0	179,0	49,0	10,0	1,0	23183,0	13,0	2727,0	3827,0	295,0	77,0	1,0	964,0	4546,0	4503,0	4272,0	1958,0
3515004005009	1272,0	1464,0	1362,0	1151,0	921,0	554,0	307,0	100,0	19,0	5,0	0,0	1203,0	1459,0	1391,0	1257,0	972,0	624,0	347,0	138,0	46,0	8,0	0,0	14600,0	13,0	1893,0	2475,0	238,0	65,0	0,0	654,0	2923,0	2753,0	2408,0	1178,0
3515004005004	1607,0	1696,0	1966,0	1781,0	984,0	778,0	466,0	123,0	29,0	6,0	0,0	1552,0	1681,0	2019,0	1867,0	1127,0	1009,0	513,0	183,0	48,0	7,0	1,0	19443,0	13,0	2111,0	3159,0	306,0	77,0	1,0	979,0	3377,0	3985,0	3648,0	1787,0
3515004005001	1382,0	1585,0	1496,0	1282,0	960,0	637,0	307,0	97,0	12,0	4,0	0,0	1392,0	1490,0	1562,0	1352,0	1076,0	739,0	339,0	137,0	44,0	12,0	1,0	15906,0	16,0	2036,0	2774,0	234,0	56,0	1,0	646,0	3075,0	3058,0	2634,0	1376,0
3515004005003	1338,0	1611,0	1709,0	1275,0	1065,0	760,0	305,0	100,0	24,0	7,0	0,0	1336,0	1636,0	1666,0	1442,0	1232,0	807,0	395,0	147,0	51,0	6,0	0,0	16912,0	13,0	2297,0	2674,0	247,0	75,0	0,0	700,0	3247,0	3375,0	2717,0	1567,0
3515004005002	1348,0	1654,0	1639,0	1450,0	1095,0	714,0	436,0	182,0	31,0	4,0	0,0	1324,0	1622,0	1696,0	1655,0	1217,0	938,0	538,0	204,0	64,0	15,0	1,0	17827,0	19,0	2312,0	2672,0	386,0	95,0	1,0	974,0	3276,0	3335,0	3105,0	1652,0
3516408003001	1307,0	1499,0	1247,0	1195,0	888,0	622,0	348,0	103,0	39,0	4,0	0,0	1300,0	1461,0	1268,0	1290,0	827,0	650,0	348,0	96,0	38,0	6,0	1,0	14537,0	10,0	1715,0	2607,0	199,0	77,0	1,0	696,0	2960,0	2515,0	2485,0	1272,0
3516408003005	2164,0	2480,0	2848,0	2386,0	1748,0	1505,0	830,0	332,0	101,0	8,0	0,0	2086,0	2442,0	2841,0	2528,0	1929,0	1717,0	910,0	452,0	175,0	24,0	0,0	29506,0	32,0	3677,0	4250,0	784,0	276,0	0,0	1740,0	4922,0	5689,0	4914,0	3222,0
