CD_GEOCODI	geosample
355030873000141	SÃO MATEUS
355030873000142	SÃO MATEUS
355030873000143	SÃO MATEUS
355030873000144	SÃO MATEUS
355030873000145	SÃO MATEUS
355030873000146	SÃO MATEUS
355030873000147	SÃO MATEUS
355030873000148	SÃO MATEUS
355030873000149	SÃO MATEUS
355030873000150	SÃO MATEUS
355030873000151	SÃO MATEUS
355030873000152	SÃO MATEUS
355030873000153	SÃO MATEUS
355030873000154	SÃO MATEUS
355030873000155	SÃO MATEUS
355030873000156	SÃO MATEUS
355030873000157	SÃO MATEUS
355030873000158	SÃO MATEUS
355030873000159	SÃO MATEUS
355030873000160	SÃO MATEUS
355030873000161	SÃO MATEUS
355030873000162	SÃO MATEUS
355030873000163	SÃO MATEUS
355030873000164	SÃO MATEUS
355030873000165	SÃO MATEUS
355030873000166	SÃO MATEUS
355030873000167	SÃO MATEUS
355030873000168	SÃO MATEUS
355030873000169	SÃO MATEUS
355030873000170	SÃO MATEUS
355030873000171	SÃO MATEUS
355030873000172	SÃO MATEUS
355030873000173	SÃO MATEUS
355030873000174	SÃO MATEUS
355030873000175	SÃO MATEUS
355030873000176	SÃO MATEUS
355030873000177	SÃO MATEUS
355030873000178	SÃO MATEUS
355030873000179	SÃO MATEUS
355030873000180	SÃO MATEUS
355030873000181	SÃO MATEUS
355030873000182	SÃO MATEUS
355030873000183	SÃO MATEUS
355030873000184	SÃO MATEUS
355030873000185	SÃO MATEUS
355030873000186	SÃO MATEUS
355030873000187	SÃO MATEUS
355030873000188	SÃO MATEUS
355030873000189	SÃO MATEUS
355030873000190	SÃO MATEUS
355030873000191	SÃO MATEUS
355030873000192	SÃO MATEUS
355030873000193	SÃO MATEUS
355030873000194	SÃO MATEUS
355030873000195	SÃO MATEUS
355030873000196	SÃO MATEUS
355030873000197	SÃO MATEUS
355030873000198	SÃO MATEUS
355030873000199	SÃO MATEUS
355030873000200	SÃO MATEUS
355030873000201	SÃO MATEUS
355030873000202	SÃO MATEUS
355030873000203	SÃO MATEUS
355030873000204	SÃO MATEUS
355030873000205	SÃO MATEUS
355030873000206	SÃO MATEUS
355030873000207	SÃO MATEUS
355030873000208	SÃO MATEUS
355030873000209	SÃO MATEUS
355030873000210	SÃO MATEUS
355030873000211	SÃO MATEUS
355030873000212	SÃO MATEUS
355030873000213	SÃO MATEUS
355030873000214	SÃO MATEUS
355030873000215	SÃO MATEUS
355030873000216	SÃO MATEUS
355030873000217	SÃO MATEUS
355030873000218	SÃO MATEUS
355030873000219	SÃO MATEUS
355030873000220	SÃO MATEUS
355030873000221	SÃO MATEUS
355030873000222	SÃO MATEUS
355030873000223	SÃO MATEUS
355030873000224	SÃO MATEUS
355030873000225	SÃO MATEUS
355030875000001	SÃO RAFAEL
355030875000002	SÃO RAFAEL
355030875000003	SÃO RAFAEL
